,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
1357891,373383000,2022-03-13 23:59:44,29.68222,-122.52824,11.8,271.9,272.0,DIAMOND QUEEN,IMO9642136,3EWM,70,0.0,199.0,32.0,13.0,70.0,A
3612448,373383000,2022-03-13 23:59:39,29.7024,-124.47029,14.1,268.8,271.0,DIAMOND QUEEN,IMO9642136,3EWM,70,0.0,199.0,32.0,13.0,70.0,A
3909057,373383000,2022-03-13 23:59:51,29.70649,-124.75226,13.6,273.2,272.0,DIAMOND QUEEN,IMO9642136,3EWM,70,0.0,199.0,32.0,13.0,70.0,A
5556550,229161000,2022-03-13 20:00:41,37.2103,-76.11684,0.1,134.9,204.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5560334,311000813,2022-03-13 20:01:31,45.549,-122.69383,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5562378,316026694,2022-03-13 20:01:59,48.40755,-89.2155,0.0,319.0,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5566936,477624800,2022-03-13 20:00:15,39.25224,-76.54432,0.0,141.2,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5568021,356704000,2022-03-13 20:02:48,27.53369,-86.90369,11.8,167.8,170.0,NAVIOS FANTASTIKS,IMO9325013,3EAJ2,70,0.0,288.0,45.0,18.2,70.0,A
5577601,403531001,2022-03-13 20:02:34,29.72555,-95.2684,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5582704,316026694,2022-03-13 20:04:58,48.40755,-89.21551,0.0,138.3,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5589457,403531001,2022-03-13 20:05:34,29.72555,-95.26839,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5596025,316026694,2022-03-13 20:07:58,48.40755,-89.21551,0.0,164.1,345.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5608683,403531001,2022-03-13 20:08:34,29.72551,-95.26842,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5609958,311000813,2022-03-13 20:10:31,45.54901,-122.69381,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5611598,403531001,2022-03-13 20:11:34,29.72554,-95.26838,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5614284,311000813,2022-03-13 20:04:34,45.54904,-122.69387,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5616950,538004337,2022-03-13 20:11:45,36.80154,-76.2894,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5618477,229161000,2022-03-13 20:12:44,37.21033,-76.11682,0.0,123.2,208.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5618811,212254000,2022-03-13 20:12:28,18.33562,-64.94774,0.0,193.8,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5621697,316026694,2022-03-13 20:10:59,48.40755,-89.21551,0.0,185.9,345.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5622404,311000813,2022-03-13 20:13:32,45.54902,-122.69384,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5627070,356704000,2022-03-13 20:12:28,27.50274,-86.8958,11.8,167.1,169.0,NAVIOS FANTASTIKS,IMO9325013,3EAJ2,70,0.0,288.0,45.0,18.2,70.0,A
5629388,212254000,2022-03-13 20:06:28,18.33566,-64.94774,0.0,242.4,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5631142,477624800,2022-03-13 20:06:15,39.25233,-76.5444,0.0,131.4,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5631508,229161000,2022-03-13 20:06:42,37.21029,-76.11682,0.1,163.4,206.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5637988,403531001,2022-03-13 20:14:34,29.72554,-95.26839,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5640523,311000813,2022-03-13 20:16:35,45.54899,-122.69382,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5641593,538004337,2022-03-13 20:17:36,36.80152,-76.28938,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5642071,229161000,2022-03-13 20:15:36,37.21036,-76.11686,0.0,308.6,207.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5645626,212254000,2022-03-13 20:18:31,18.33564,-64.94775,0.0,188.1,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5645713,403531001,2022-03-13 20:17:34,29.72555,-95.26839,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5651188,356704000,2022-03-13 20:18:48,27.48247,-86.89075,11.8,167.9,169.0,NAVIOS FANTASTIKS,IMO9325013,3EAJ2,70,0.0,288.0,45.0,18.2,70.0,A
5656458,477624800,2022-03-13 20:18:15,39.25227,-76.54435,0.0,149.7,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5658772,229161000,2022-03-13 20:18:44,37.21035,-76.1169,0.0,288.9,206.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5660127,212254000,2022-03-13 20:21:29,18.33564,-64.94778,0.0,188.6,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5661604,229161000,2022-03-13 20:21:42,37.2104,-76.11695,0.1,286.5,205.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5668827,477624800,2022-03-13 20:12:15,39.2523,-76.54431,0.0,133.3,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5673446,477624800,2022-03-13 20:24:15,39.25226,-76.54432,0.0,127.7,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5674290,403531001,2022-03-13 20:23:34,29.72554,-95.2684,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5676785,212254000,2022-03-13 20:24:31,18.3356,-64.94777,0.0,181.6,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5679231,316026694,2022-03-13 20:25:59,48.40755,-89.2155,0.0,244.8,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5682575,477624800,2022-03-13 20:15:15,39.25228,-76.54442,0.0,318.7,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5684643,403531001,2022-03-13 20:26:34,29.72554,-95.2684,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5685744,538004337,2022-03-13 20:26:41,36.80152,-76.28942,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5691977,311000813,2022-03-13 20:25:33,45.54903,-122.69384,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5700334,538004337,2022-03-13 20:29:39,36.80157,-76.28942,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5703960,229161000,2022-03-13 20:27:42,37.21046,-76.11713,0.0,279.7,199.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5704063,403531001,2022-03-13 20:20:34,29.72555,-95.26839,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5709529,538004337,2022-03-13 20:20:41,36.80151,-76.28941,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5712074,311000813,2022-03-13 20:31:32,45.54903,-122.69381,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5714355,403531001,2022-03-13 20:29:34,29.72554,-95.2684,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5715053,229161000,2022-03-13 20:33:40,37.21045,-76.11714,0.1,85.3,197.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5717065,311000813,2022-03-13 20:22:33,45.54902,-122.69387,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5719296,229161000,2022-03-13 20:24:45,37.21042,-76.11703,0.1,293.4,203.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5727800,538004337,2022-03-13 20:35:40,36.80149,-76.28938,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5727822,538004337,2022-03-13 20:02:41,36.80148,-76.28944,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5730704,212254000,2022-03-13 20:03:31,18.33565,-64.94775,0.0,240.8,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5732876,477624800,2022-03-13 20:27:15,39.25229,-76.54435,0.0,126.4,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5735420,311000813,2022-03-13 20:34:30,45.549,-122.69381,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5742733,538004337,2022-03-13 20:38:38,36.80149,-76.28941,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5743841,311000813,2022-03-13 20:28:35,45.54901,-122.69384,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5744005,229161000,2022-03-13 20:36:47,37.21048,-76.11713,0.0,325.6,201.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5744913,212254000,2022-03-13 20:39:31,18.33565,-64.94775,0.0,165.0,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5751429,316026694,2022-03-13 20:37:58,48.40756,-89.2155,0.0,268.8,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5752433,229161000,2022-03-13 20:30:45,37.21044,-76.11717,0.1,161.8,195.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5755491,403531001,2022-03-13 20:38:34,29.72557,-95.26841,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5757288,538004337,2022-03-13 20:41:41,36.8015,-76.28941,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5757614,316026694,2022-03-13 20:31:59,48.40756,-89.2155,0.0,210.0,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5759293,477624800,2022-03-13 20:39:15,39.25218,-76.5443,0.0,120.8,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5760068,316026694,2022-03-13 20:40:57,48.40756,-89.2155,0.0,204.6,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5760573,229161000,2022-03-13 20:42:37,37.21054,-76.1174,0.1,284.1,195.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5763691,477624800,2022-03-13 20:42:15,39.25232,-76.54439,0.0,127.0,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5765129,538004337,2022-03-13 20:44:40,36.80153,-76.28938,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5765909,477624800,2022-03-13 20:33:15,39.25232,-76.54437,0.0,136.1,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5766125,212254000,2022-03-13 20:33:31,18.33564,-64.94775,0.0,181.8,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5769952,403531001,2022-03-13 20:41:34,29.72553,-95.26838,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5773177,477624800,2022-03-13 20:45:15,39.25244,-76.54439,0.0,159.2,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5776387,311000813,2022-03-13 20:43:34,45.54907,-122.69385,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5781176,403531001,2022-03-13 20:35:34,29.72555,-95.26841,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5787790,212254000,2022-03-13 20:48:30,18.33563,-64.94777,0.0,183.2,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5787807,212254000,2022-03-13 20:45:28,18.33563,-64.94775,0.0,162.1,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5789985,311000813,2022-03-13 20:37:31,45.54902,-122.69384,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5790024,311000813,2022-03-13 20:49:31,45.54904,-122.69384,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5796280,403531001,2022-03-13 20:47:34,29.72552,-95.26838,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5803074,212254000,2022-03-13 20:51:31,18.33558,-64.94779,0.0,163.1,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5806456,229161000,2022-03-13 20:51:42,37.21054,-76.11747,0.0,73.9,189.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5809294,212254000,2022-03-13 20:42:31,18.33564,-64.94775,0.0,174.3,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5811484,538004337,2022-03-13 20:53:36,36.80154,-76.28941,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5815264,311000813,2022-03-13 20:52:33,45.54902,-122.69383,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5819395,403531001,2022-03-13 20:53:34,29.72553,-95.26837,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5820724,477624800,2022-03-13 20:54:15,39.25233,-76.54441,0.0,160.2,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5822010,403531001,2022-03-13 20:44:34,29.72555,-95.26839,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5822024,229161000,2022-03-13 20:45:39,37.21057,-76.11751,0.0,285.1,188.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5822233,316026694,2022-03-13 20:43:58,48.40756,-89.2155,0.0,131.8,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5822250,316026694,2022-03-13 20:22:59,48.40755,-89.2155,0.0,127.3,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5822279,212254000,2022-03-13 20:54:31,18.33564,-64.94775,0.0,150.8,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5831302,311000813,2022-03-13 20:46:31,45.54903,-122.69379,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5832242,356704000,2022-03-13 20:46:39,27.39358,-86.86704,11.8,165.2,165.0,NAVIOS FANTASTIKS,IMO9325013,3EAJ2,70,0.0,288.0,45.0,18.2,70.0,A
5836116,212254000,2022-03-13 20:57:29,18.33565,-64.94774,0.0,149.5,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5837999,538004337,2022-03-13 20:56:38,36.8015,-76.28941,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5838533,316026694,2022-03-13 20:58:58,48.40756,-89.21551,0.0,324.2,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5838707,311000813,2022-03-13 20:58:31,45.54902,-122.69383,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5843987,477624800,2022-03-13 20:48:15,39.25232,-76.54433,0.0,159.1,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5844792,212254000,2022-03-13 20:30:31,18.33564,-64.94775,0.0,186.3,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5848435,403531001,2022-03-13 20:59:34,29.72549,-95.2684,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5852303,212254000,2022-03-13 21:00:28,18.33562,-64.94775,0.0,143.7,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5852543,477624800,2022-03-13 21:00:15,39.25231,-76.54424,0.0,116.4,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5857684,538004337,2022-03-13 20:32:35,36.80152,-76.28941,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5862250,538004337,2022-03-13 21:02:39,36.80147,-76.2893,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5863257,229161000,2022-03-13 21:00:44,37.21054,-76.11758,0.1,144.4,186.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5864069,316026694,2022-03-13 21:01:58,48.40756,-89.2155,0.0,86.5,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5866154,477624800,2022-03-13 21:03:15,39.25231,-76.54435,0.0,118.3,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5869900,212254000,2022-03-13 20:36:31,18.33563,-64.94775,0.0,172.6,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5872479,477624800,2022-03-13 20:36:15,39.25232,-76.5444,0.0,123.6,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5875105,311000813,2022-03-13 21:04:33,45.54906,-122.69389,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5881160,477624800,2022-03-13 20:57:15,39.25225,-76.54434,0.0,119.8,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5881707,403531001,2022-03-13 20:56:34,29.72556,-95.26841,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5886728,229161000,2022-03-13 20:39:40,37.21049,-76.11721,0.1,275.8,201.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5888635,477624800,2022-03-13 21:06:15,39.25231,-76.54433,0.0,110.6,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5890818,311000813,2022-03-13 20:40:34,45.549,-122.69384,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5892376,403531001,2022-03-13 21:08:34,29.72555,-95.26837,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5895705,212254000,2022-03-13 21:06:31,18.3356,-64.94777,0.0,142.8,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5898032,538004337,2022-03-13 21:08:40,36.80156,-76.28947,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5906200,403531001,2022-03-13 21:11:34,29.72556,-95.26839,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5908526,538004337,2022-03-13 21:11:41,36.8015,-76.2893,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5911190,477624800,2022-03-13 21:09:15,39.25242,-76.54441,0.0,69.7,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5911953,229161000,2022-03-13 21:12:42,37.21053,-76.11741,0.0,107.9,191.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5913109,316026694,2022-03-13 21:07:58,48.40755,-89.2155,0.0,89.4,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5914380,212254000,2022-03-13 21:12:30,18.33563,-64.94775,0.0,148.2,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5917874,311000813,2022-03-13 21:13:34,45.54907,-122.69386,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5919037,356704000,2022-03-13 21:12:17,27.31295,-86.84113,11.7,164.3,162.0,NAVIOS FANTASTIKS,IMO9325013,3EAJ2,70,0.0,288.0,45.0,18.2,70.0,A
5919520,538004337,2022-03-13 20:47:41,36.80153,-76.28945,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5921078,316026694,2022-03-13 20:46:59,48.40756,-89.21551,0.0,95.5,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5922504,212254000,2022-03-13 21:15:29,18.33562,-64.94778,0.0,128.2,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
5924600,316026694,2022-03-13 21:13:57,48.40755,-89.2155,0.0,309.1,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5927511,229161000,2022-03-13 21:15:45,37.21055,-76.11744,0.0,107.9,191.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5927598,229161000,2022-03-13 21:09:45,37.21055,-76.11742,0.1,115.3,190.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5928904,316026694,2022-03-13 21:04:59,48.40756,-89.2155,0.0,221.1,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5938366,403531001,2022-03-13 20:50:34,29.72554,-95.26839,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5938599,311000813,2022-03-13 21:07:31,45.54905,-122.69379,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5941221,477624800,2022-03-13 21:18:15,39.25232,-76.54438,0.0,136.6,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5945879,367569690,2022-03-13 21:18:03,30.40638,-88.01812,0.4,360.0,511.0,G L 66,,WDG7675,70,,81.0,,,,B
5947488,367569690,2022-03-13 21:20:33,30.40612,-88.0179,0.2,360.0,511.0,G L 66,,WDG7675,70,,81.0,,,,B
5947490,229161000,2022-03-13 21:18:41,37.21054,-76.11745,0.1,157.2,190.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5954365,229161000,2022-03-13 20:54:43,37.21057,-76.11748,0.0,32.5,191.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5956608,477624800,2022-03-13 21:21:15,39.25229,-76.5444,0.0,144.4,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.0,74.0,A
5959009,311000813,2022-03-13 20:55:35,45.54902,-122.6938,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5960130,403531001,2022-03-13 21:17:34,29.72556,-95.2684,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5962090,538004337,2022-03-13 21:20:41,36.80154,-76.28943,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5964274,311000813,2022-03-13 21:19:35,45.54901,-122.69392,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5965169,229161000,2022-03-13 21:21:43,37.21053,-76.11741,0.1,120.6,189.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5966890,311000813,2022-03-13 21:10:36,45.54901,-122.69383,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
