,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
6524009,356704000,2022-03-13 22:54:29,26.98207,-86.74416,12.4,167.0,163.0,NAVIOS FANTASTIKS,IMO9325013,3EAJ2,70,0.0,288.0,45.0,18.2,70.0,A
6526093,403531001,2022-03-13 23:20:34,29.72555,-95.2684,0.0,269.3,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
6528585,212254000,2022-03-13 23:00:05,18.32445,-64.93899,6.7,164.3,165.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,0.0,125.0,15.0,4.9,70.0,A
6529939,356704000,2022-03-13 23:00:28,26.96193,-86.73884,12.5,167.0,163.0,NAVIOS FANTASTIKS,IMO9325013,3EAJ2,70,0.0,288.0,45.0,18.2,70.0,A
6533963,477624800,2022-03-13 22:56:47,39.23738,-76.54574,2.6,192.8,192.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6537093,538004337,2022-03-13 23:02:41,36.80152,-76.28941,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
6537883,212254000,2022-03-13 22:59:05,18.32626,-64.93949,6.4,161.1,165.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,0.0,125.0,15.0,4.9,70.0,A
6538209,477624800,2022-03-13 23:21:17,39.20898,-76.52004,7.2,141.3,142.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6541868,212254000,2022-03-13 23:04:16,18.31715,-64.93749,5.1,183.8,194.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,0.0,125.0,15.0,4.9,70.0,A
6542646,403531001,2022-03-13 22:59:34,29.72555,-95.26839,0.1,216.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
6545702,316026694,2022-03-13 23:22:58,48.40756,-89.2155,0.0,199.3,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
6551380,538004337,2022-03-13 23:23:42,36.80152,-76.28943,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
6553977,403531001,2022-03-13 23:23:34,29.72556,-95.26841,0.0,269.3,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
6554999,212254000,2022-03-13 23:23:12,18.31073,-64.94219,0.2,204.3,89.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,1.0,125.0,15.0,4.9,70.0,A
6558321,477624800,2022-03-13 23:26:58,39.20169,-76.50921,7.3,126.7,127.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6560621,477624800,2022-03-13 23:28:17,39.20023,-76.50637,7.2,120.1,120.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6562670,311000813,2022-03-13 23:07:33,45.54904,-122.69383,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
6562838,311000813,2022-03-13 23:25:32,45.54904,-122.6938,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
6563232,316026694,2022-03-13 23:25:59,48.40756,-89.21549,0.0,316.2,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
6565732,403531001,2022-03-13 23:29:34,29.72554,-95.26839,0.0,269.3,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
6566887,311000813,2022-03-13 23:28:31,45.54899,-122.69386,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
6571293,356704000,2022-03-13 23:07:08,26.93933,-86.73309,12.4,165.8,160.0,NAVIOS FANTASTIKS,IMO9325013,3EAJ2,70,0.0,288.0,45.0,18.2,70.0,A
6584774,403531001,2022-03-13 23:32:34,29.72554,-95.26838,0.0,269.3,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
6588537,316026694,2022-03-13 23:34:59,48.40755,-89.21548,0.0,130.6,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
6590525,229161000,2022-03-13 23:33:45,37.21101,-76.11671,0.0,203.8,209.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
6592875,538004337,2022-03-13 23:29:43,36.80154,-76.28939,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
6593110,538004337,2022-03-13 23:11:38,36.80152,-76.28939,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
6594911,403531001,2022-03-13 23:35:34,29.72554,-95.26838,0.0,269.3,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
6598431,477624800,2022-03-13 23:31:46,39.19742,-76.49839,7.2,112.3,113.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6599718,477624800,2022-03-13 23:32:56,39.19653,-76.49547,7.2,110.8,111.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6601274,311000813,2022-03-13 23:13:31,45.54897,-122.69383,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
6603361,316026694,2022-03-13 23:37:58,48.40755,-89.21549,0.0,8.8,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
6604518,477624800,2022-03-13 23:34:07,39.19568,-76.49257,7.3,110.2,111.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6606601,403531001,2022-03-13 23:38:34,29.72554,-95.2684,0.0,269.3,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
6611816,538004337,2022-03-13 23:38:41,36.80153,-76.28945,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
6612032,477624800,2022-03-13 23:38:57,39.19219,-76.48079,7.5,110.6,111.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6613011,403531001,2022-03-13 23:17:34,29.72554,-95.26838,0.0,269.3,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
6613756,477624800,2022-03-13 23:17:48,39.21426,-76.52558,6.9,141.2,142.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6614095,477624800,2022-03-13 23:40:07,39.1913,-76.47786,7.5,110.5,111.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6614104,477624800,2022-03-13 23:36:38,39.19392,-76.48651,7.4,110.1,111.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6622635,316026694,2022-03-13 23:40:59,48.40754,-89.21548,0.0,278.9,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
6625006,477624800,2022-03-13 23:41:27,39.19026,-76.47457,7.5,110.5,111.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
